title,id,year,rating,votes,seasons
The Simpsons,0096697,1989,8.7,332151,32
Superman,0115378,1996,8.1,12126,3
Gargoyles,0108783,1994,8.1,12508,2
Recess,0126170,1997,7.9,19829,6
The Jetsons,0055683,1962,7.0,16360,3
Reboot,0108903,1994,7.9,4670,4
King of the Hill,0118375,1997,7.3,41930,13
Clone High,0305011,2002,8.2,5409,1
Ren & Stimpy,0101178,1991,7.5,19310,5
G.I. Joe,0086719,1985,7.8,4144,2
Beavis & Butthead,0105950,1993,7.5,25384,8
Bojack Horseman,3398228,2014,8.5,69579,6
X-Men,0103584,1992,8.5,33310,5
Peanuts,5772554,2014,7.7,75,1
Looney Tunes,1726839,2011,6.7,9918,2
Astro Boy,0124228,1980,7.4,719,2
South Park,0121955,1997,8.7,299645,23
Johnny Bravo,0118360,1997,7.3,29535,4
Ducktales,0092345,1987,8.1,26376,4
The Care Bears,0284713,1985,6.1,2646,4
Pinky and the Brain,0112123,1995,7.9,25970,4
Dexters Laboratory,0115157,1996,7.9,38578,4
Rugrats,0101188,1990,7.5,28638,10
Tom and Jerry,0282315,1980,7.7,1155,1
Inspector Gadget,0085033,1983,6.8,16482,2
Thundercats,0088631,1985,7.9,14570,4
Spiderman (1967),0061301,1967,7.4,2819,3
Pink Panter,0063939,1969,7.7,13638,1
Animaniacs,0105941,1993,7.9,19185,5
The Magic School Bus,0108847,1994,7.9,7109,4
The Flintstones,0053502,1960,7.5,29540,6
Jonny Quest,0206500,1986,7.3,815,1
Teenage Mutant Ninja Turtles,0131613,1987,7.9,27771,10
Duckman,0108755,1994,7.8,5048,4
He-Man,0126158,1983,7.5,14607,2
Beetlejuice,0096543,1989,7.4,6158,4
Scooby-Doo,0063950,1969,7.9,26429,2
Rocky and Bullwinkle,0052507,1959,7.8,3143,5
The Real Ghostbusters,0090506,1986,7.6,7607,7
Hey Arnold!,0115200,1996,7.7,27575,5
Archer,1486217,2009,8.7,123300,10
Bob's Burgers,1561755,2011,8.1,56007,10
Spongebob Squarepants,0206512,1999,8.1,73226,12
The Powerpuff Girls,0175058,1998,7.3,32651,6
The Racoons,0131183,1985,7.6,1504,5
The Smurfs,0081933,1981,7.2,13578,9
Batman: The Animated Series,0103359,1992,8.9,74399,4
Alvin and the Chipmunks,0084972,1983,6.8,2611,8
Family Guy,0182576,1999,8.2,282797,18
Daria,0118298,1997,8.1,21540,5
Dragonball Z,0214341,1996,8.7,101135,16
Sailor Moon,0114327,1995,7.7,10707,4
The Tick,0112196,1994,7.9,8271,3
Yogi Bear,0255768,1961,6.7,8165,2
Rick & Morty,2861424,2013,9.3,268146,4
Chip and Dale,0096557,1988,7.6,15037,3
The Transformers,0086817,1984,8.0,18827,4
Popeye The Sailor,0145628,1960,7.1,7975,2
Pokemon,0168366,1997,7.4,33451,22
Robot Chicken,0437745,2005,7.8,37343,9
Big Mouth,6524350,2017,8.1,35670,3
Darkwing Duck,0101076,1991,7.6,12977,3
Futurama,0149460,1999,8.5,194918,7
Woody Woodpecker,0184175,1957,7.1,4471,6
