visitor_team_name,visitor_goals,home_team_name,home_goals,overtimes,attendance,game_duration,game_remarks,date_game
Ottawa Senators,3,Montreal Canadiens,4,,"21,287",,,2015-04-15
Chicago Blackhawks,4,Nashville Predators,3,2OT,"17,225",,,2015-04-15
Calgary Flames,2,Vancouver Canucks,1,,"18,870",,,2015-04-15
New York Islanders,4,Washington Capitals,1,,"18,506",,,2015-04-15
Winnipeg Jets,2,Anaheim Ducks,4,,"17,174",,,2015-04-16
Pittsburgh Penguins,1,New York Rangers,2,,"18,006",,,2015-04-16
Minnesota Wild,4,St. Louis Blues,2,,"19,671",,,2015-04-16
Detroit Red Wings,3,Tampa Bay Lightning,2,,"19,204",,,2015-04-16
Ottawa Senators,2,Montreal Canadiens,3,OT,"21,287",,,2015-04-17
Chicago Blackhawks,2,Nashville Predators,6,,"17,208",,,2015-04-17
Calgary Flames,1,Vancouver Canucks,4,,"18,870",,,2015-04-17
New York Islanders,3,Washington Capitals,4,,"18,506",,,2015-04-17
Winnipeg Jets,1,Anaheim Ducks,2,,"17,415",,,2015-04-18
Pittsburgh Penguins,4,New York Rangers,3,,"18,006",,,2015-04-18
Minnesota Wild,1,St. Louis Blues,4,,"19,243",,,2015-04-18
Detroit Red Wings,1,Tampa Bay Lightning,5,,"19,204",,,2015-04-18
Vancouver Canucks,2,Calgary Flames,4,,"19,289",,,2015-04-19
Nashville Predators,2,Chicago Blackhawks,4,,"22,020",,,2015-04-19
Washington Capitals,1,New York Islanders,2,OT,"16,170",,,2015-04-19
Montreal Canadiens,2,Ottawa Senators,1,OT,"20,500",,,2015-04-19
St. Louis Blues,0,Minnesota Wild,3,,"19,165",,,2015-04-20
New York Rangers,2,Pittsburgh Penguins,1,,"18,645",,,2015-04-20
Anaheim Ducks,5,Winnipeg Jets,4,OT,"15,016",,,2015-04-20
Vancouver Canucks,1,Calgary Flames,3,,"19,289",,,2015-04-21
Nashville Predators,2,Chicago Blackhawks,3,3OT,"22,014",,,2015-04-21
Tampa Bay Lightning,0,Detroit Red Wings,3,,"20,027",,,2015-04-21
Washington Capitals,2,New York Islanders,1,OT,"16,170",,,2015-04-21
St. Louis Blues,6,Minnesota Wild,1,,"19,390",,,2015-04-22
Montreal Canadiens,0,Ottawa Senators,1,,"20,500",,,2015-04-22
New York Rangers,2,Pittsburgh Penguins,1,OT,"18,619",,,2015-04-22
Anaheim Ducks,5,Winnipeg Jets,2,,"15,016",,,2015-04-22
Tampa Bay Lightning,3,Detroit Red Wings,2,OT,"20,027",,,2015-04-23
Chicago Blackhawks,2,Nashville Predators,5,,"17,238",,,2015-04-23
Calgary Flames,1,Vancouver Canucks,2,,"18,870",,,2015-04-23
New York Islanders,1,Washington Capitals,5,,"18,506",,,2015-04-23
Ottawa Senators,5,Montreal Canadiens,1,,"21,287",,,2015-04-24
Pittsburgh Penguins,1,New York Rangers,2,OT,"18,006",,,2015-04-24
Minnesota Wild,4,St. Louis Blues,1,,"19,653",,,2015-04-24
