Player,Rk,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Q,pop,prob_pts,team_full
Nikita Kucherov,456,25,TBL,RW,82,41,87,128,24,62,14.6,26,15,0,8,54,33,0,246,16.7,1637,19:58,31,44,0,3,0.0,1.5609756097560976,0.9761904761904762,1.5238095238095237,Tampa Bay Lightning
Sidney Crosby,166,31,PIT,C,79,35,65,100,18,36,11.4,23,12,0,3,46,17,2,220,15.9,1658,21:00,43,85,1012,814,55.4,1.2658227848101267,0.9404761904761905,1.1904761904761905,Pittsburgh Penguins
Brad Marchand,534,30,BOS,LW,79,36,64,100,15,96,11.7,23,10,3,9,36,24,4,231,15.6,1550,19:37,19,46,45,60,42.9,1.2658227848101267,0.9404761904761905,1.1904761904761905,Boston Bruins
Johnny Gaudreau,283,25,CGY,LW,82,36,63,99,18,24,10.9,30,6,0,8,42,21,0,245,14.7,1646,20:04,12,12,1,2,33.3,1.2073170731707317,0.9761904761904762,1.1785714285714286,Calgary Flames
Nathan MacKinnon,523,23,COL,C,82,41,58,99,20,34,11.8,29,12,0,6,33,25,0,365,11.2,1812,22:05,31,54,518,666,43.8,1.2073170731707317,0.9761904761904762,1.1785714285714286,Colorado Avalanche
Steven Stamkos,796,28,TBL,C,82,45,53,98,4,37,11.5,24,19,2,6,32,21,0,234,19.2,1501,18:18,40,72,506,447,53.1,1.1951219512195121,0.9761904761904762,1.1666666666666665,Tampa Bay Lightning
Mitch Marner,538,21,TOR,C,82,26,68,94,22,22,9.8,22,3,1,5,48,18,2,233,11.2,1625,19:49,43,29,7,5,58.3,1.146341463414634,0.9761904761904762,1.1190476190476188,Toronto Maple Leafs
Brayden Point,670,22,TBL,C,79,41,51,92,27,28,11.4,21,20,0,7,36,15,0,191,21.5,1495,18:55,43,31,435,421,50.8,1.1645569620253164,0.9404761904761905,1.0952380952380951,Tampa Bay Lightning
Blake Wheeler,882,32,WPG,RW,82,20,71,91,0,60,8.2,16,2,2,3,39,31,1,231,8.7,1698,20:43,53,81,31,57,35.2,1.1097560975609757,0.9761904761904762,1.0833333333333335,Winnipeg Jets
Alex Ovechkin,629,33,WSH,LW,81,51,38,89,7,40,11.0,33,18,0,5,28,10,0,338,15.1,1695,20:55,41,223,1,4,20.0,1.0987654320987654,0.9642857142857143,1.0595238095238095,Washington Capitals
John Tavares,826,28,TOR,C,82,47,41,88,19,34,11.3,37,10,0,8,32,9,0,286,16.4,1565,19:05,53,59,833,694,54.6,1.0731707317073171,0.9761904761904762,1.0476190476190477,Toronto Maple Leafs
Artemi Panarin,636,27,CBJ,LW,79,28,59,87,14,23,9.7,22,6,0,8,47,12,0,191,14.7,1569,19:51,17,14,1,3,25.0,1.1012658227848102,0.9404761904761905,1.0357142857142858,Columbus Blue Jackets
Mikko Rantanen,689,22,COL,RW,74,31,56,87,13,54,9.8,15,16,0,4,39,17,0,193,16.1,1542,20:51,41,59,17,29,37.0,1.1756756756756757,0.8809523809523809,1.0357142857142856,Colorado Avalanche
Mark Scheifele,739,25,WPG,C,82,38,46,84,8,38,9.4,26,12,0,6,32,11,3,199,19.1,1793,21:52,54,54,802,933,46.2,1.024390243902439,0.9761904761904762,1.0,Winnipeg Jets
Sebastian Aho,7,21,CAR,RW,82,30,53,83,25,26,9.8,23,3,4,7,31,21,1,243,12.3,1652,20:09,34,65,585,619,48.6,1.0121951219512195,0.9761904761904762,0.988095238095238,Carolina Hurricanes
Sean Monahan,577,24,CGY,C,78,34,48,82,7,12,8.9,22,12,0,5,37,11,0,211,16.1,1486,19:03,24,36,454,434,51.1,1.0512820512820513,0.9285714285714286,0.9761904761904763,Calgary Flames
Phil Kessel,435,31,PIT,RW,82,27,55,82,-19,28,7.7,15,12,0,10,31,24,0,215,12.6,1474,17:59,18,12,4,5,44.4,1.0,0.9761904761904762,0.9761904761904762,Pittsburgh Penguins
David Pastrnak,641,22,BOS,RW,66,38,43,81,6,32,10.2,21,17,0,4,27,16,0,235,16.2,1238,18:45,25,57,1,2,33.3,1.2272727272727273,0.7857142857142857,0.9642857142857143,Boston Bruins
Tyler Seguin,754,27,DAL,C,82,33,47,80,17,18,9.7,24,9,0,8,29,18,0,334,9.9,1701,20:45,47,74,676,579,53.9,0.975609756097561,0.9761904761904762,0.9523809523809523,Dallas Stars
Patrice Bergeron,54,33,BOS,C,65,32,47,79,23,30,10.1,19,9,4,3,26,18,3,205,15.6,1200,18:28,60,43,786,603,56.6,1.2153846153846153,0.7738095238095238,0.9404761904761905,Boston Bruins
Elias Lindholm,504,24,CGY,C,81,27,51,78,30,20,8.4,17,9,1,5,31,17,3,182,14.8,1623,20:02,39,82,509,428,54.3,0.9629629629629629,0.9642857142857143,0.9285714285714285,Calgary Flames
Matthew Tkachuk,840,21,CGY,LW,80,34,43,77,14,62,8.8,23,11,0,2,30,13,0,207,16.4,1408,17:36,13,104,6,7,46.2,0.9625,0.9523809523809523,0.9166666666666666,Calgary Flames
Teuvo Teravainen,828,24,CAR,C,82,21,55,76,30,12,8.7,12,8,1,1,35,16,4,167,12.6,1469,17:55,23,35,18,25,41.9,0.926829268292683,0.9761904761904762,0.9047619047619048,Carolina Hurricanes
