Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,team_full
92,Andrei Vasilevskiy,24,TBL,53,53,39,10,4,128,1713,1585,0.925,2.4,6,12.4,3204,34,0.642,7,83.0,26.4,0,3,3,6,Tampa Bay Lightning
9,Sergei Bobrovsky,30,CBJ,62,61,37,24,1,153,1756,1603,0.9129999999999999,2.58,9,10.4,3557,31,0.508,13,97.0,5.27,0,0,0,2,Columbus Blue Jackets
2,Frederik Andersen,29,TOR,60,60,36,16,7,162,1958,1796,0.917,2.77,1,12.5,3510,38,0.633,7,92.0,14.48,0,1,1,2,Toronto Maple Leafs
48,Martin Jones,29,SJS,62,62,36,19,5,176,1699,1523,0.8959999999999999,2.94,3,7.0,3597,27,0.435,14,115.0,-22.87,0,1,1,2,San Jose Sharks
29,Marc-Andre Fleury,34,VEG,61,61,35,21,5,152,1745,1593,0.9129999999999999,2.51,8,10.3,3635,34,0.557,7,97.0,5.28,0,2,2,4,Vegas Golden Knights
39,Connor Hellebuyck,25,WPG,63,62,34,23,3,179,2051,1872,0.9129999999999999,2.9,2,12.1,3704,28,0.452,6,97.0,5.86,0,3,3,4,Winnipeg Jets
42,Braden Holtby,29,WSH,59,58,32,19,5,160,1795,1635,0.9109999999999999,2.82,3,10.2,3407,33,0.569,9,99.0,1.79,0,2,2,2,Washington Capitals
80,Pekka Rinne,36,NSH,56,55,30,19,4,130,1581,1451,0.9179999999999999,2.42,4,10.1,3220,30,0.545,7,91.0,12.5,0,0,0,4,Nashville Predators
67,Matt Murray,24,PIT,50,50,29,14,6,129,1594,1465,0.919,2.69,4,10.4,2880,29,0.58,10,90.0,14.67,0,0,0,4,Pittsburgh Penguins
81,David Rittich,26,CGY,45,42,27,9,5,109,1228,1119,0.9109999999999999,2.61,1,7.0,2503,26,0.619,8,98.0,1.68,0,0,0,4,Calgary Flames
78,Tuukka Rask,31,BOS,46,45,27,13,5,109,1245,1136,0.912,2.48,4,7.3,2635,24,0.5329999999999999,5,97.0,3.21,0,2,2,4,Boston Bruins
7,Ben Bishop,32,DAL,46,45,27,15,2,87,1323,1236,0.934,1.98,7,10.8,2637,31,0.6890000000000001,1,73.0,32.24,0,2,2,2,Dallas Stars
55,Robin Lehner,27,NYI,46,43,25,13,5,93,1323,1230,0.93,2.13,6,10.2,2616,26,0.605,4,78.0,26.24,0,1,1,0,New York Islanders
6,Jordan Binnington,25,STL,32,30,24,5,1,59,807,748,0.927,1.89,5,6.0,1876,20,0.667,1,81.0,13.74,0,0,0,0,St. Louis Blues
84,Mike Smith,36,CGY,42,40,23,16,2,109,1069,960,0.898,2.72,2,4.6,2400,20,0.5,9,113.0,-12.65,0,3,3,2,Calgary Flames
66,Petr Mrazek,26,CAR,40,40,23,14,3,95,1104,1009,0.914,2.39,4,6.6,2387,23,0.575,4,95.0,4.51,0,1,1,6,Carolina Hurricanes
35,Thomas Greiss,33,NYI,43,39,23,14,2,87,1185,1098,0.927,2.28,5,8.7,2294,25,0.6409999999999999,7,81.0,19.81,0,1,1,4,New York Islanders
37,Jaroslav Halak,33,BOS,40,37,22,11,4,90,1158,1068,0.922,2.34,5,8.0,2308,22,0.595,4,86.0,14.37,0,4,4,0,Boston Bruins
26,Louis Domingue,26,TBL,26,26,21,5,0,75,812,737,0.9079999999999999,2.88,0,4.3,1561,14,0.5379999999999999,2,102.0,-1.81,0,1,1,4,Tampa Bay Lightning
91,Semyon Varlamov,30,COL,49,49,20,19,9,136,1496,1360,0.909,2.87,2,8.2,2839,25,0.51,9,101.0,-1.16,0,0,0,2,Colorado Avalanche
61,Curtis McElhinney,35,CAR,33,33,20,11,2,85,968,883,0.912,2.58,2,5.6,1978,17,0.515,6,97.0,2.25,0,0,0,0,Carolina Hurricanes
1,Jake Allen,28,STL,46,45,19,17,8,121,1277,1156,0.905,2.83,3,6.5,2568,25,0.556,11,105.0,-5.9,0,0,0,0,St. Louis Blues
36,Philipp Grubauer,27,COL,37,33,18,9,5,89,1071,982,0.917,2.64,3,6.8,2021,20,0.606,5,92.0,7.53,0,0,0,0,Colorado Avalanche
