name,pop,lat,lon
Selkirk,9819.5,50.15002545,-96.88332178
Berens River,522.5,52.36655682,-97.03331262
Pukatawagan,431.0,55.73327639,-101.3166171
Gimli,2316.0,50.63330345,-96.99998133
Island Lake,10.0,53.96658836,-94.76657759999999
Melville,4226.0,50.93331097,-102.79998909999999
Weyburn,9302.5,49.66656659,-103.8500025
La Ronge,3427.0,55.10000755,-105.3000173
Stony Rapids,152.0,59.26657493,-105.83326640000001
Camrose,15747.0,53.01669802,-112.81663859999999
Hinton,10077.0,53.39998212,-117.5833503
Vegreville,5745.5,53.49997601,-112.04996709999999
Stettler,5449.5,52.33296714,-112.6832876
Lac La Biche,2952.5,54.77193972,-111.964701
Wetaskiwin,11562.5,52.96657188,-113.38329660000001
Meander River,200.0,59.03328168,-117.6829824
Creston,4816.0,49.09996035,-116.516697
Cranbrook,17990.0,49.516679100000005,-115.7666653
Terrace,14772.0,54.49999249,-128.58332479999999
Chilliwack,51942.0,49.16664878,-121.949983
Hall Beach,654.0,68.76746684,-81.23608303
Lutselke,102.0,62.40005292,-110.73332909999999
Hay River,3774.0,60.84999249,-115.7000027
Déline,393.5,65.18334556,-123.4166635
Paulatuk,294.0,69.38332176,-123.98332140000001
Tsiigehtchic,175.0,67.43328575,-133.7499862
Owen Sound,22625.0,44.56664532,-80.84998519
Orillia,33830.5,44.59997662,-79.41666183
Kapuskasing,8732.0,49.4166852,-82.43332524
Thessalon,1416.5,46.24997927,-83.55000126
Geraldton,1290.0,49.71664105,-86.96664026
Belleville,43990.0,44.16666974,-77.38334924
Sarnia,113585.0,42.96663963,-82.3999681
Peterborough,79752.0,44.29996909,-78.33326542
Oshawa,349476.0,43.87999473,-78.84997807
London,340900.0,42.969998600000004,-81.24998661
Kitchener,413056.5,43.44999514,-80.50000655
New Liskeard,5203.0,47.50000633,-79.66664657
Brockville,25172.0,44.589279600000005,-75.69531275
Big Beaver House,10.0,52.94998374,-89.88328394
Port-Menier,263.0,49.82257774,-64.34799504
Riviere-du-Loup,16403.0,47.83329348,-69.53331161
Drummondville,56806.0,45.88333498,-72.48336409999999
Sherbrooke,134549.5,45.40000531,-71.89998885
Cap-Chat,1475.0,49.09996035,-66.68330469
Baie-Comeau,8808.0,49.22266604,-68.15799504
Natashquan,722.0,50.19134076,-61.81065637
Eastmain,335.0,52.23333498,-78.51669092
Schefferville,471.0,54.80000002,-66.81665572
Salluit,106.0,62.18259849,-75.65950098
Amos,10475.5,48.56663373,-78.11666366
Joliette,40066.5,46.03332583,-73.43330611
St.-Jerome,66693.5,45.7666496,-73.99998987
St-Augustin,3961.0,51.2423102,-58.64699935
Rouyn-Noranda,24312.5,48.25001223,-79.03324854
La Sarre,6366.5,48.8000045,-79.20003422
New Glasgow,19883.5,45.58327578,-62.63331934
Liverpool,4331.0,44.03995913,-64.72001367
Amherst,8631.5,45.81656903,-64.21658187
Baddeck,852.0,46.09998842,-60.75397669
Deer Lake,3953.0,49.17440025,-57.42691878
La Scie,817.0,49.96701337,-55.58300033
Hopedale,442.0,55.44996035,-60.21667098
Happy Valley - Goose Bay,4309.5,53.29998822,-60.29999923
Port Hope Simpson,197.0,52.53329083,-56.30001083
Tofino,1655.0,49.15207146,-125.9031487
Steinbach,9668.0,49.51709251,-96.68330815
Nelson House,2500.0,55.80045575,-98.85002344
Shamattawa,870.0,55.85037518,-92.08327885
Oxford House,184.0,54.95040428,-95.26659876
Yorkton,14377.5,51.21706626,-102.4665469
Swift Current,14804.5,50.28373822,-107.76661100000001
Biggar,2130.0,52.05040041,-107.9832902
Kindersley,4316.0,51.46697349,-109.1332976
Meadow Lake,5081.5,54.13011843,-108.4347356
Hudson Bay,1909.0,52.8504291,-102.3832961
Lethbridge,64594.0,49.70049217,-112.8332784
Brooks,13453.5,50.56705426,-111.9000021
Lake Louise,1248.0,51.43369387,-116.1832807
Athabasca,2399.5,54.71703351,-113.26658529999999
Fort Chipewyan,3222.0,58.71709943,-111.1499962
Bella Bella,1400.0,52.14840476,-128.11728090000003
Sandspit,538.0,53.24040529,-131.8332815
Campbell River,29941.5,50.01708783,-125.2499882
Port Hardy,2295.0,50.71707094,-127.4999801
Nanaimo,82698.0,49.14602021,-123.93429109999998
Quesnel,13788.0,52.98367678,-122.4832837
Abbotsford,151683.0,49.05037681,-122.2999874
Dawson Creek,10676.5,55.76696942,-120.23326599999999
Penticton,34035.0,49.50037518,-119.58327990000001
Nelson,10796.0,49.48365786,-117.28329109999999
Lillooet,2893.0,50.68371381,-121.9332656
Powell River,7999.5,49.88371096,-124.5499793
Revelstoke,7600.5,51.0004645,-118.1833395
Burns Lake,2633.0,54.21701235,-125.7665975
Dease Lake,303.0,58.45034568,-130.033288
Coral Harbour,834.0,64.15377016,-83.17658736
Baker Lake,1584.0,64.31699017,-96.01665633
Norman Wells,650.0,65.28372703,-126.84996809999998
Fort McPherson,1069.0,67.49152508,-134.8949809
Burwash Landing,73.0,61.35037539,-139.0000017
Orangeville,30812.0,43.91707257,-80.08333948
Little Current,1595.0,45.96702496,-81.93332992
Chapleau,2663.0,47.83370689,-83.40001042
Wawa,2174.0,48.00041506,-84.78333683
Hearst,4894.5,49.70049217,-83.66658329
Marathon,4627.0,48.75039512,-86.36665104
Sioux Lookout,4570.0,50.26296429,-91.91664820000001
Red Lake,1765.0,51.03369244,-93.83330123
Deer Lake,3743.0,52.61703249,-94.06659448
Cat Lake,277.0,51.71703575,-91.79998865
Cornwall,47601.5,45.01705711,-74.73333012
Kingston,108297.5,44.23371991,-76.48330082
Barrie,150886.5,44.38376243,-79.7000037
Parry Sound,6787.0,45.33370445,-80.03300663
Wiarton,2182.0,44.73368939,-81.13330123
Cobalt,1372.0,47.38370852,-79.68331222
Cochrane,4441.0,49.06701662,-81.01656417
Nipigon,1204.0,49.01704551,-88.24997278
Atikokan,3625.0,48.75039512,-91.61658899
Rimouski,35584.0,48.43374778,-68.51668115
Saint-Georges,26149.0,46.117145,-70.66665328
Victoriaville,37963.0,46.05040489,-71.96667729
Chevery,284.0,50.48132306,-59.60978296
Mistassini,2645.0,50.41706341,-73.86658716
Kangirsuk,549.0,60.02482322,-69.99909713
Shawinigan,41751.5,46.55037437,-72.733323
Matagami,1574.5,49.75038576,-77.63328231
Mont-Laurier,11642.0,46.55037437,-75.50002751
Pembroke,15551.0,45.85026206,-77.11664718
Radisson,270.0,53.78362795,-77.61656498
Saint John,71153.0,45.26704185,-66.07667505
Edmundston,17894.0,47.37941937,-68.3332815
Shelburne,2553.0,43.76560895,-65.31935694
Antigonish,5871.0,45.62691652,-61.99819015
Windsor,3759.0,44.98059938,-64.12911951
Digby,3000.5,44.62258506,-65.7604928
Stephenville,6666.0,48.55040733,-58.56656498
Argentia,1063.0,47.30043194,-53.98999679
St. Anthony,224.0,51.383748600000004,-55.599950199999995
Channel-Port aux Basques,3232.0,47.56700482,-59.15004358
Buchans,685.0,48.81703188,-56.86659123
Trout River,452.0,49.48365786,-58.11664413
Churchill Falls,75.0,53.52640851,-63.98067896
Forteau,448.0,51.45038535,-56.94999699
Trepassey,398.0,46.73697797,-53.36329085
Brochet,278.0,57.88322268,-101.6665957
Lynn Lake,482.0,56.85002993,-101.0499667
Gillam,1281.0,56.34998293,-94.69996668
North Battleford,15721.5,52.76663576,-108.28334939999999
Prince Albert,29643.5,53.20002016,-105.7499899
Courtenay,28946.0,49.68333559,-124.9999777
Kelowna,110207.5,49.89998903,-119.4833118
Pangnirtung,1320.0,66.13331341,-65.75002832
Holman,449.0,70.73336855,-117.74998090000001
Dryden,7862.0,49.78332949,-92.83333643
Attawapiskat,1802.0,52.91662661,-82.43332524
Hamilton,620501.0,43.24998151,-79.82999577
Windsor,265068.5,42.33329327,-83.03334029
Trois-Rivières,118051.0,46.34997316,-72.54994918
Sept-Îles,25686.0,50.31608767,-66.36001693
Corner Brook,19742.0,48.94999534,-57.93334782
Norway House,5500.0,53.96658836,-97.83328963
Flin Flon,6197.5,54.76659121,-101.88330079999999
Dauphin,8747.5,51.15001609,-100.0499502
The Pas,4928.5,53.81662335,-101.2333147
Uranium City,89.0,59.56655662,-108.61658490000002
Moose Jaw,31436.5,50.39998435,-105.5500021
Jasper,3504.5,52.88332115,-118.08337140000002
Medicine Hat,58382.0,50.03331423,-110.6833322
Red Deer,74225.0,52.26664044,-113.80004109999999
Banff,6897.0,51.17799888,-115.5719227
Grand Prairie,41153.5,55.16664431,-118.7999943
Smithers,5841.5,54.76659121,-127.1665896
Kamloops,68671.0,50.66666058,-120.3332858
Williams Lake,12361.0,52.1166496,-122.14999660000001
Prince George,64132.5,53.91666892,-122.7666515
Fort Nelson,6315.0,58.81670575,-122.5329706
Pond Inlet,1549.0,72.68498069,-78.00005579
Cape Dorset,1326.0,64.31251972,-76.53857863
Kimmirut,385.0,62.85002545,-69.88331608
Gjoa Haven,1109.0,68.63329002,-95.91666244
Grise Fiord,23.0,76.44165061,-82.94998621
Alert,97.5,82.48332318,-62.24998356
Rankin Inlet,2403.0,62.81666831,-92.09531946
Fort Resolution,448.0,61.16658815,-113.682994
Fort Simpson,283.0,61.84998313,-121.3332764
Inuvik,3022.0,68.34997398,-133.6999893
Tuktoyaktuk,899.5,69.45477459,-133.0492013
Watson Lake,802.0,60.116626399999994,-128.80003
Lansdowne House,120.0,52.21664349,-87.88332849
Moosonee,1725.0,51.28060244,-80.65798141
Sudbury,119182.0,46.49998985,-80.96664474
Kenora,10852.0,49.76668968,-94.46664758
Gaspe,3504.0,48.83731488,-64.49336084
Mingan,588.0,50.301758899999996,-64.01726532
Dolbeau,13126.5,48.86658958,-72.23332768
Val d'Or,20625.0,48.11663535,-77.76663334
Ivugivik,156.0,62.41664105,-77.89998438
Inukjuak,1597.0,58.47000856,-78.13599064
Chicoutimi,53940.0,48.43330853,-71.06670638
Moncton,89051.0,46.08334861,-64.76667749
Fredericton,44525.0,45.94999758,-66.63330774
Bathurst,5303.5,47.59997438,-65.64998275
Yarmouth,7433.0,43.83079447,-66.11258120000001
Gander,3345.0,48.94999534,-54.54998845
Cartwright,505.0,53.70140663,-57.01214114
Rigolet,124.0,54.17660138,-58.44732162
Port Burwell,2762.0,60.26646222,-64.74109766
Thompson,13097.0,55.74994204,-97.86662093
Brandon,27326.0,49.83327476,-99.94998214
Fort Smith,518.0,60.00001853,-111.8833364
Fort McMurray,21863.0,56.733318700000005,-111.38331529999999
Peace River,5014.5,56.23332338,-117.28329109999999
Fort St. John,18089.0,56.24998903,-120.8332811
Iqaluit,6124.0,63.75045938,-68.50019175
Cambridge Bay,1477.0,69.11695559,-105.0333153
Kugluktuk,1302.0,67.79866282,-115.1253504
Chesterfield Inlet,374.0,63.33829022,-90.70008163
Arviat,1868.0,61.10859211,-94.05860672
Taloyoak,774.0,69.53331259999999,-93.53331954
Igloolik,1612.0,69.25653506,-81.79359213
Dawson City,1319.0,64.0666437,-139.4166687
Timmins,33937.5,48.46658815,-81.33331486
North Bay,45988.5,46.30000205,-79.44999313
Kuujjuarapik,1243.0,55.28149518,-77.76583236
Kuujjuaq,1273.0,58.10000531,-68.39999577
Sydney,37538.0,46.06611452,-60.17998071
Labrador City,8840.0,52.94143129,-66.91587447
Winnipeg,603688.0,49.88298749,-97.16599186
Churchill,961.5,58.76598533,-94.1659941
Regina,176183.0,50.45003298,-104.6170099
Saskatoon,194075.5,52.17003135,-106.6699854
Calgary,1012661.0,51.08299176,-114.0799982
Prince Rupert,14708.0,54.31667035,-130.3299882
Victoria,270491.5,48.43328269,-123.35000090000001
Arctic Bay,604.0,73.03330568,-85.16662093
Resolute,239.5,74.68333417,-94.90000615
Repulse Bay,874.0,66.52946689,-86.28293502
Yellowknife,18658.5,62.44201418,-114.3969814
Fort Good Hope,597.0,66.26661277,-128.63332179999998
Whitehorse,23274.0,60.71671897,-135.0499844
Ottawa,978564.5,45.4166968,-75.70001529999999
Fort Severn,125.0,55.98333864,-87.64998356
Thunder Bay,98354.0,48.44615013,-89.27497481
Québec,576386.0,46.83996909,-71.24561019
Halifax,290992.5,44.65002525,-63.60000452
St. John’s,115325.5,47.58498822,-52.68100692
Nain,1151.0,56.54735147,-61.686045400000005
Charlottetown,36847.5,46.24928164,-63.13132512
Edmonton,885195.5,53.55002464,-113.49998190000001
Montréal,3017278.0,45.49999921,-73.58329696
Vancouver,1458415.0,49.27341658,-123.1216442
Toronto,4573710.5,43.69997988,-79.42002079
